codigo,gse
1065,ABC1
1066,ABC1
1067,ABC1
1071,D
1072,C3
1073,C2
1074,C2
1075,ABC1
1076,ABC1
1077,ABC1
1081,C3
1082,C3
1083,C2
1084,ABC1
1085,ABC1
1086,ABC1
1087,ABC1
1091,C3
1092,C3
1093,C2
1094,ABC1
1095,ABC1
1096,ABC1
1097,ABC1
1101,E
1102,D
1103,D
1104,C3
1105,C2
1106,C2
1107,C2
2101,E
2102,D
2103,D
2104,C3
2105,C2
2106,C2
2107,C2
3101,E
3102,D
3103,D
3104,C3
3105,C2
3106,C2
3107,C2
4101,E
4102,D
4103,C3
4104,C3
4105,C2
4106,C2
4107,ABC1
5101,E
5102,D
5103,C3
5104,C3
5105,C2
5106,C2
5107,ABC1
6101,D
6102,D
6103,C3
6104,C2
6105,C2
6106,ABC1
6107,ABC1
7101,D
7102,D
7103,C3
7104,C2
7105,C2
7106,ABC1
7107,ABC1
8101,D
8102,D
8103,C3
8104,C2
8105,C2
8106,ABC1
8107,ABC1
9101,D
9102,C3
9103,C3
9104,C2
9105,ABC1
9106,ABC1
9107,ABC1
10101,D
10102,C3
10103,C3
10104,C2
10105,ABC1
10106,ABC1
10107,ABC1
